Date,Tweets
2020-06-21 19:37:38,"#Gempa Mag:5.0, 22-Jun-20 02:33:08 WIB, Lok:9.11 LS,110.85 BT (107 km BaratDaya PACITAN-JATIM), Kedlmn:63 Km, tdk berpotensi tsunami #BMKG https://t.co/NY4CZjSxdl"
2020-06-22 05:24:14,"New normal itu bukan berarti covidnya udah ilang, njing."
2020-06-22 18:41:53,PRESIDENTIAL HARASSMENT!
2020-06-22 23:59:59,"Gua bingung dong, ini tuh ko bisa sering bgt dapet tips besar, rezeki dr mana? 
Pas gua inget klo mampir indomaret suka beli roti yg beli 1 gratis 1 nah yg satunya itu suka ngasih ke kakek kakek jualan mainan sebelah indo.. 
Sederhana bgt bukan? Tp hasilnya nyata"
2020-06-22 23:59:59,"RT @najwakaram: B7ebbkoun ktir ktir ktir ❤️❤️❤️
https://t.co/m8mXYTO5iF https://t.co/LWYO9CrekN"
2020-06-22 23:59:59,CHAEYOUNG???!?!?!?!?! YUSSSSS &lt;333 https://t.co/vQFTKUxb9m
2020-06-22 23:59:59,@SayyedaKiran Stii up?
2020-06-22 23:59:59,"lucu banget?????????? aduh gemesss
 https://t.co/dVLbE1qTsl"
2020-06-22 23:59:59,@ShinchanPakboi Yaudah beli aja
2020-06-22 23:59:59,"RT @IBCIG: You won't regret watching these 2 movies. In fact movie ni bergabung dengan pelakon Malaysia, My Stupid Boss first shooting deka…"
2020-06-21 19:37:38,Gempa kenceng bgt :(
2020-06-21 19:37:38,@nanaa_____s Masa sih?
2020-06-21 19:37:38,Why bengayekani?
2020-06-21 19:37:38,@Diyaannisa_8 Aku jga mau klo di kutuk kek gitu mah:))
2020-06-21 19:37:38,ehhh dimanaa?1!!1!1 https://t.co/lNftaQLrZ5
2020-06-21 19:37:38,@potaettoo @whtsinurhouse @kittiyoomgie mmf ya aku wangi mawar kamu gak usah ngadi ngadi 😔
2020-06-21 19:37:38,@lindalahay_ staf safe mbak 🙏
2020-06-21 19:37:38,ALHAFID LAH
2020-06-21 19:37:38,@tomuori wkwkw bisa dicoba kali aja manjur
2020-06-21 19:37:38,"@jungwuismee met tidur ayangie, sleep well🤩🤩"
2020-06-21 19:37:38,RT @Atongruddin: Ada yang tercicir holo sight ke? https://t.co/wUIUPaRZKz
2020-06-21 19:37:38,tngn m pcsart
2020-06-21 19:37:38,RT @RamliRizal: Ha..Ha .. 😀😀 Track record forecasting Bank Dunia payah jika ada ‘struktural break’ spt 1998 &amp; 2020. WB hanya bagus jika nor…
2020-06-21 19:37:38,kalian kerasa gempa ga?
2020-06-21 19:37:38,"gempa berasa bgt, kenceng gt 😫"
2020-06-21 19:37:38,@mldayd Jogja
2020-06-21 19:37:38,@petabencana Astaga min nyaut aja
2020-06-21 19:37:38,@atgjaee @sxftlyaaa Nope anaknya Pak Acung?
2020-06-21 19:37:38,@hyghwaydocare thxx logan ☺️
2020-06-21 19:37:38,Mantapppp langsung tremor gegara gempa 🥺
2020-06-21 19:37:38,"@redxochiquetzal @icekarem Jogja , ini kerasa bener"
2020-06-21 19:37:38,@cisskarahayu SGW &gt; DGW?  😲😳😳
2020-06-21 19:37:38,@agassibryan Hai! Laporkan bencana di sekitarmu menggunakan link ini. Terima kasih. https://t.co/o33ik4qBYC
2020-06-21 19:37:38,@FlakJonathan1 Maze se bakora imirimo bakaziga ryari? Hahaha uziko abarimu akenshi baba bicurangira
2020-06-21 19:37:38,Asli cantik btul pris lovhe ku ini https://t.co/cCF5WQyLuT
2020-06-21 19:37:38,@iamcardibtn @BardiUpdatess skeuekfndkd
2020-06-21 19:37:38,sumpah kaget ada gempa gais😭
