Date,Tweets,Preprocessing
2020-06-21 19:37:38,"#Gempa Mag:5.0, 22-Jun-20 02:33:08 WIB, Lok:9.11 LS,110.85 BT (107 km BaratDaya PACITAN-JATIM), Kedlmn:63 Km, tdk berpotensi tsunami #BMKG https://t.co/NY4CZjSxdl", gempa mag 5 0 22 jun 20 02 33 08 wib lok 9 11 ls 110 85 bt 107 km baratdaya pacitan jatim kedlmn 63 km tdk berpotensi tsunami bmkg 
2020-06-22 05:24:14,"New normal itu bukan berarti covidnya udah ilang, njing.",new normal itu bukan berarti covidnya udah ilang njing 
2020-06-22 18:41:53,PRESIDENTIAL HARASSMENT!,presidential harassment 
2020-06-22 23:59:59,"Gua bingung dong, ini tuh ko bisa sering bgt dapet tips besar, rezeki dr mana? 
Pas gua inget klo mampir indomaret suka beli roti yg beli 1 gratis 1 nah yg satunya itu suka ngasih ke kakek kakek jualan mainan sebelah indo.. 
Sederhana bgt bukan? Tp hasilnya nyata",gua bingung dong ini tuh ko bisa sering bgt dapet tips besar rezeki dr mana pas gua inget klo mampir indomaret suka beli roti yg beli 1 gratis 1 nah yg satunya itu suka ngasih ke kakek kakek jualan mainan sebelah indo sederhana bgt bukan tp hasilnya nyata
2020-06-22 23:59:59,"RT @najwakaram: B7ebbkoun ktir ktir ktir ❤️❤️❤️
https://t.co/m8mXYTO5iF https://t.co/LWYO9CrekN", b7ebbkoun ktir ktir ktir 
2020-06-22 23:59:59,CHAEYOUNG???!?!?!?!?! YUSSSSS &lt;333 https://t.co/vQFTKUxb9m,chaeyoung yusssss lt 333 
2020-06-22 23:59:59,@SayyedaKiran Stii up?, stii up 
2020-06-22 23:59:59,"lucu banget?????????? aduh gemesss
 https://t.co/dVLbE1qTsl",lucu banget aduh gemesss 
2020-06-22 23:59:59,@ShinchanPakboi Yaudah beli aja, yaudah beli aja
2020-06-22 23:59:59,"RT @IBCIG: You won't regret watching these 2 movies. In fact movie ni bergabung dengan pelakon Malaysia, My Stupid Boss first shooting deka…", you won t regret watching these 2 movies in fact movie ni bergabung dengan pelakon malaysia my stupid boss first shooting deka 
2020-06-21 19:37:38,Gempa kenceng bgt :(,gempa kenceng bgt 
2020-06-21 19:37:38,@nanaa_____s Masa sih?, s masa sih 
2020-06-21 19:37:38,Why bengayekani?,why bengayekani 
2020-06-21 19:37:38,@Diyaannisa_8 Aku jga mau klo di kutuk kek gitu mah:)), 8 aku jga mau klo di kutuk kek gitu mah 
2020-06-21 19:37:38,ehhh dimanaa?1!!1!1 https://t.co/lNftaQLrZ5,ehhh dimanaa 1 1 1 
2020-06-21 19:37:38,@potaettoo @whtsinurhouse @kittiyoomgie mmf ya aku wangi mawar kamu gak usah ngadi ngadi 😔, mmf ya aku wangi mawar kamu gak usah ngadi ngadi 
2020-06-21 19:37:38,@lindalahay_ staf safe mbak 🙏, staf safe mbak 
2020-06-21 19:37:38,ALHAFID LAH,alhafid lah
2020-06-21 19:37:38,@tomuori wkwkw bisa dicoba kali aja manjur, wkwkw bisa dicoba kali aja manjur
2020-06-21 19:37:38,"@jungwuismee met tidur ayangie, sleep well🤩🤩", met tidur ayangie sleep well 
2020-06-21 19:37:38,RT @Atongruddin: Ada yang tercicir holo sight ke? https://t.co/wUIUPaRZKz, ada yang tercicir holo sight ke 
2020-06-21 19:37:38,tngn m pcsart,tngn m pcsart
2020-06-21 19:37:38,RT @RamliRizal: Ha..Ha .. 😀😀 Track record forecasting Bank Dunia payah jika ada ‘struktural break’ spt 1998 &amp; 2020. WB hanya bagus jika nor…, ha ha track record forecasting bank dunia payah jika ada struktural break spt 1998 amp 2020 wb hanya bagus jika nor 
2020-06-21 19:37:38,kalian kerasa gempa ga?,kalian kerasa gempa ga 
2020-06-21 19:37:38,"gempa berasa bgt, kenceng gt 😫",gempa berasa bgt kenceng gt 
2020-06-21 19:37:38,@mldayd Jogja, jogja
2020-06-21 19:37:38,@petabencana Astaga min nyaut aja, astaga min nyaut aja
2020-06-21 19:37:38,@atgjaee @sxftlyaaa Nope anaknya Pak Acung?, nope anaknya pak acung 
2020-06-21 19:37:38,@hyghwaydocare thxx logan ☺️, thxx logan 
2020-06-21 19:37:38,Mantapppp langsung tremor gegara gempa 🥺,mantapppp langsung tremor gegara gempa 
2020-06-21 19:37:38,"@redxochiquetzal @icekarem Jogja , ini kerasa bener", jogja ini kerasa bener
2020-06-21 19:37:38,@cisskarahayu SGW &gt; DGW?  😲😳😳, sgw gt dgw 
2020-06-21 19:37:38,@agassibryan Hai! Laporkan bencana di sekitarmu menggunakan link ini. Terima kasih. https://t.co/o33ik4qBYC, hai laporkan bencana di sekitarmu menggunakan link ini terima kasih 
2020-06-21 19:37:38,@FlakJonathan1 Maze se bakora imirimo bakaziga ryari? Hahaha uziko abarimu akenshi baba bicurangira,1 maze se bakora imirimo bakaziga ryari hahaha uziko abarimu akenshi baba bicurangira
2020-06-21 19:37:38,Asli cantik btul pris lovhe ku ini https://t.co/cCF5WQyLuT,asli cantik btul pris lovhe ku ini 
2020-06-21 19:37:38,@iamcardibtn @BardiUpdatess skeuekfndkd, skeuekfndkd
2020-06-21 19:37:38,sumpah kaget ada gempa gais😭,sumpah kaget ada gempa gais 
2020-06-21 19:37:38,@terpaxa Di jogjaa 😥, di jogjaa 
